105
PAINT_SQUARE 6 14 1
PAINT_SQUARE 10 161 5
PAINT_SQUARE 6 188 1
PAINT_SQUARE 6 191 1
PAINT_SQUARE 10 6 1
PAINT_SQUARE 10 18 1
PAINT_SQUARE 10 21 1
PAINT_SQUARE 19 33 10
PAINT_SQUARE 11 46 2
PAINT_SQUARE 11 51 2
PAINT_SQUARE 10 55 1
PAINT_SQUARE 15 123 6
PAINT_SQUARE 15 136 6
PAINT_SQUARE 12 146 3
PAINT_SQUARE 21 30 9
PAINT_SQUARE 18 69 5
PAINT_SQUARE 18 80 5
PAINT_SQUARE 15 176 2
PAINT_SQUARE 15 181 2
PAINT_SQUARE 15 186 2
PAINT_SQUARE 19 101 5
PAINT_SQUARE 18 111 4
PAINT_SQUARE 17 119 3
PAINT_SQUARE 16 175 2
PAINT_SQUARE 19 146 3
PAINT_SQUARE 20 160 4
PAINT_SQUARE 18 53 1
PAINT_SQUARE 18 56 1
PAINT_SQUARE 18 59 1
PAINT_SQUARE 18 62 1
PAINT_SQUARE 24 13 2
PAINT_SQUARE 24 18 2
PAINT_SQUARE 25 143 3
PAINT_SQUARE 24 11 1
PAINT_SQUARE 24 110 1
PAINT_SQUARE 24 148 1
PAINT_SQUARE 28 47 3
PAINT_SQUARE 28 54 3
PAINT_SQUARE 27 60 2
PAINT_SQUARE 27 125 2
PAINT_SQUARE 27 130 2
PAINT_SQUARE 27 135 2
PAINT_SQUARE 27 140 2
PAINT_SQUARE 27 175 2
PAINT_SQUARE 27 180 2
PAINT_SQUARE 27 185 2
PAINT_SQUARE 26 189 1
PAINT_SQUARE 27 110 1
PAINT_SQUARE 27 148 1
PAINT_SQUARE 30 114 1
PAINT_SQUARE 30 170 1
PAINT_SQUARE 33 170 1
PAINT_LINE 5 16 9 16
PAINT_LINE 5 193 7 193
PAINT_LINE 5 194 7 194
PAINT_LINE 7 76 7 82
PAINT_LINE 7 183 7 194
PAINT_LINE 8 13 8 16
PAINT_LINE 8 75 8 83
PAINT_LINE 8 183 8 186
PAINT_LINE 9 8 11 8
PAINT_LINE 9 57 13 57
PAINT_LINE 10 58 12 58
PAINT_LINE 11 9 11 58
PAINT_LINE 11 92 11 94
PAINT_LINE 12 9 12 16
PAINT_LINE 12 54 12 58
PAINT_LINE 12 91 12 95
PAINT_LINE 13 5 13 8
PAINT_LINE 13 11 13 12
PAINT_LINE 13 54 13 57
PAINT_LINE 13 86 24 86
PAINT_LINE 13 87 24 87
PAINT_LINE 13 93 13 94
PAINT_LINE 13 189 18 189
PAINT_LINE 13 190 18 190
PAINT_LINE 14 5 14 8
PAINT_LINE 16 165 24 165
PAINT_LINE 16 166 24 166
PAINT_LINE 18 51 19 51
PAINT_LINE 18 178 18 190
PAINT_LINE 20 52 20 87
PAINT_LINE 21 116 23 116
PAINT_LINE 23 107 23 116
PAINT_LINE 24 63 24 87
PAINT_LINE 24 107 24 115
PAINT_LINE 25 4 25 63
PAINT_LINE 25 112 28 112
PAINT_LINE 25 191 28 191
PAINT_LINE 26 4 26 63
PAINT_LINE 27 20 27 63
PAINT_LINE 27 105 27 112
PAINT_LINE 28 63 31 63
PAINT_LINE 28 105 28 112
PAINT_LINE 28 188 28 191
PAINT_LINE 29 116 32 116
PAINT_LINE 29 143 29 149
PAINT_LINE 29 172 36 172
PAINT_LINE 29 188 29 190
PAINT_LINE 30 40 30 63
PAINT_LINE 31 21 31 63
PAINT_LINE 32 113 32 116
PAINT_LINE 33 173 34 173
PAINT_LINE 35 169 35 172
PAINT_LINE 36 169 36 172
